City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pacific grove,36.6177,-121.9166,286.29,83,100,4.12,US,1703253227
1,isafjordur,66.0755,-23.124,271.17,74,100,7.2,IS,1703253364
2,piripiri,-4.2733,-41.7769,309.02,32,7,4.12,BR,1703253364
3,vernon,50.2581,-119.2691,279.04,89,100,1.54,CA,1703253176
4,taghazout,30.5426,-9.7112,296.58,34,0,4.07,MA,1703253364
5,kuta,-8.7233,115.1723,301.12,78,20,1.03,ID,1703253365
6,ilulissat,69.2167,-51.1,260.16,56,40,8.23,GL,1703253365
7,darwin,-12.4611,130.8418,303.14,81,40,4.12,AU,1703253308
8,zuunmod,47.7069,106.9528,234.72,80,79,1.5,MN,1703253365
9,bilibino,68.0546,166.4372,240.76,100,100,0.37,RU,1703253365
10,east london,-33.0153,27.9116,298.67,73,75,8.75,ZA,1703253366
11,puerto ayora,-0.7393,-90.3518,297.31,82,78,4.32,EC,1703253366
12,ribeira grande,38.5167,-28.7,290.37,67,75,5.81,PT,1703253366
13,saipan,15.1355,145.701,300.54,83,40,7.2,MP,1703253366
14,stanley,54.868,-1.6985,282.48,78,20,10.29,GB,1703253366
15,waitangi,-43.9535,-176.5597,284.16,89,100,2.52,NZ,1703253367
16,velikiy ustyug,60.7644,46.3106,271.7,95,99,0.89,RU,1703253367
17,tiksi,71.6872,128.8694,248.13,93,100,5.72,RU,1703253367
18,iskateley,67.6803,53.1512,256.49,97,89,3.13,RU,1703253367
19,myaydo,19.3667,95.2167,296.26,67,35,0.47,MM,1703253367
20,edinburgh of the seven seas,-37.0676,-12.3116,287.94,70,65,3.43,SH,1703253368
21,ambositra,-20.5167,47.25,294.89,81,81,2.19,MG,1703253368
22,loango,-4.6719,11.8312,302.96,74,40,2.57,CG,1703253368
23,severo-yeniseyskiy,60.3725,93.0408,264.78,91,100,4.07,RU,1703253368
24,yaren,-0.5472,166.916,301.77,76,100,3.7,NR,1703253294
25,prieska,-29.6641,22.7474,312.72,13,100,10.47,ZA,1703253369
26,whitehorse,60.7161,-135.0538,265.58,86,40,2.57,CA,1703253369
27,fort st. john,56.2499,-120.8529,275.09,80,75,5.66,CA,1703253369
28,manvi,15.9833,77.05,297.11,23,99,2.63,IN,1703253370
29,bubaque,11.2833,-15.8333,297.96,33,3,1.65,GW,1703253370
30,sanctuary point,-35.1114,150.629,290.55,85,99,3.15,AU,1703253370
31,dudinka,69.4058,86.1778,265.72,94,100,7.04,RU,1703253370
32,la'ie,21.6477,-157.9253,296.18,79,100,7.95,US,1703253370
33,tazovsky,67.4667,78.7,256.75,97,39,3.31,RU,1703253371
34,peresvet,56.423,38.1761,273.03,92,100,6.46,RU,1703253371
35,codrington,-38.2667,141.9667,283.98,81,0,4.49,AU,1703253209
36,zunyi,27.6867,106.9072,275.5,69,99,1.27,CN,1703253371
37,gardelegen,52.5252,11.3952,277.25,76,100,9.27,DE,1703253372
38,bakhtiyarpur,25.4667,85.5167,293.16,43,100,1.32,IN,1703253372
39,punta arenas,-53.15,-70.9167,285.21,54,75,9.26,CL,1703253372
40,alofi,-19.0595,-169.9187,296.09,94,99,5.14,NU,1703253116
41,hermanus,-34.4187,19.2345,299.15,77,0,5.07,ZA,1703253372
42,nikol'sk,53.7189,46.0712,274.31,98,100,5.59,RU,1703253373
43,ta`u,-14.2336,-169.5144,300.25,82,100,8.15,AS,1703253373
44,badger,64.8,-147.5333,258.14,85,100,0.0,US,1703253194
45,sao felix do xingu,-6.6447,-51.995,302.59,65,100,0.99,BR,1703253373
46,gazojak,41.1875,61.4036,279.34,51,0,5.1,TM,1703253373
47,plaza huincul,-38.926,-69.2086,297.31,15,0,4.19,AR,1703253374
48,nouadhibou,20.931,-17.0347,295.14,33,20,3.6,MR,1703253374
49,new norfolk,-42.7826,147.0587,286.88,81,93,0.48,AU,1703253374
50,albany,42.6001,-73.9662,266.93,79,84,0.89,US,1703253374
51,meadow lake,34.8014,-106.5436,276.46,69,11,0.88,US,1703253374
52,port-aux-francais,-49.35,70.2167,278.07,79,100,12.99,TF,1703253375
53,margaret river,-33.95,115.0667,291.0,76,0,8.09,AU,1703253093
54,port elizabeth,-33.918,25.5701,303.2,85,40,14.4,ZA,1703253375
55,bethel,41.3712,-73.414,269.27,73,0,0.0,US,1703253262
56,alice springs,-23.7,133.8833,298.9,14,0,2.57,AU,1703253375
57,stettler,52.3168,-112.7186,272.01,100,38,5.66,CA,1703253376
58,valparaiso,-33.0393,-71.6273,293.71,64,0,2.57,CL,1703253091
59,hasaki,35.7333,140.8333,276.37,49,20,9.87,JP,1703253376
60,egilsstadir,65.2653,-14.3948,266.1,86,100,6.69,IS,1703253376
61,viedma,-40.8135,-62.9967,299.48,47,0,6.16,AR,1703253376
62,cill airne,52.05,-9.5167,283.18,87,75,5.14,IE,1703253377
63,xai-xai,-25.0519,33.6442,301.36,55,1,4.02,MZ,1703253377
64,college,64.8569,-147.8028,257.14,83,100,0.0,US,1703253377
65,hawaiian paradise park,19.5933,-154.9731,292.54,96,75,0.0,US,1703253377
66,wailua homesteads,22.0669,-159.378,293.59,90,75,6.69,US,1703253378
67,puerto natales,-51.7236,-72.4875,284.4,62,75,11.32,CL,1703253378
68,palu,-0.8917,119.8707,298.25,95,53,0.89,ID,1703253378
69,polyarnyy,69.1989,33.4478,260.84,94,99,4.55,RU,1703253378
70,margate,51.3813,1.3862,285.32,72,100,6.71,GB,1703253151
71,west island,-12.1568,96.8225,297.14,94,40,5.14,CC,1703253379
72,ushuaia,-54.8,-68.3,286.94,47,0,4.12,AR,1703253081
73,madalena,41.2162,-8.3345,289.01,61,7,2.11,PT,1703253379
74,susuman,62.7833,148.1667,230.92,100,96,0.45,RU,1703253234
75,grytviken,-54.2811,-36.5092,274.99,71,24,5.33,GS,1703253380
76,adamstown,-25.066,-130.1015,295.69,89,100,8.08,PN,1703253380
77,kapa'a,22.0752,-159.319,294.33,89,75,6.69,US,1703253323
78,blackmans bay,-43.0167,147.3167,286.22,75,100,1.66,AU,1703253381
79,kuragino,53.8975,92.6725,264.13,94,100,1.95,RU,1703253381
80,saldanha,-33.0117,17.9442,297.18,83,45,7.18,ZA,1703253381
81,lihue,21.9789,-159.3672,293.92,89,75,6.69,US,1703253381
82,al burayqah,30.4062,19.5739,291.31,60,8,11.19,LY,1703253382
83,padangsidempuan,1.3667,99.2667,296.47,98,100,0.94,ID,1703253382
84,georgetown,5.4112,100.3354,303.11,78,20,3.6,MY,1703253382
85,babayevo,59.3936,35.9371,272.48,97,100,5.49,RU,1703253382
86,atafu village,-8.5421,-172.5159,302.53,73,100,7.24,TK,1703253382
87,bousse,12.6606,-1.8922,305.0,9,5,3.42,BF,1703253383
88,kruisfontein,-34.0033,24.7314,301.97,55,0,11.08,ZA,1703253383
89,constantia,44.1833,28.65,281.53,72,100,9.52,RO,1703253383
90,iqaluit,63.7506,-68.5145,259.0,72,75,5.66,CA,1703253384
91,kodiak,57.79,-152.4072,263.88,86,0,3.6,US,1703253384
92,corfu,39.62,19.9197,290.03,67,40,5.14,GR,1703253384
93,tan-tan,28.438,-11.1032,295.12,21,20,8.23,MA,1703253384
94,teruel,40.6667,-0.6667,279.38,79,95,10.35,ES,1703253384
95,ust-nera,64.5667,143.2,233.3,99,93,2.1,RU,1703253385
96,olonkinbyen,70.9221,-8.7187,270.35,76,100,10.63,SJ,1703253385
97,rio grande,-32.035,-52.0986,297.21,82,100,5.0,BR,1703253385
98,sandnessjoen,66.0217,12.6316,273.38,55,75,2.57,NO,1703253386
99,baoro,5.6667,15.9667,308.39,15,75,3.33,CF,1703253386
100,puerto baquerizo moreno,-0.9,-89.6,296.8,86,74,5.09,EC,1703253386
101,el matama,16.7095,33.3565,303.96,16,1,5.08,SD,1703253386
102,alvaraes,-3.2208,-64.8042,300.08,64,93,1.23,BR,1703253387
103,puerto armuelles,8.2833,-82.8667,299.87,72,97,0.45,PA,1703253387
104,hithadhoo,-0.6,73.0833,301.35,78,100,3.34,MV,1703253160
105,hammerfest,70.6634,23.6821,264.4,79,0,0.0,NO,1703253387
106,paciran,-6.8767,112.3761,301.08,73,93,0.93,ID,1703253387
107,longyearbyen,78.2186,15.6401,262.06,62,75,7.2,SJ,1703253388
108,anadyr,64.75,177.4833,246.48,75,0,5.0,RU,1703253388
109,mar del plata,-38.0023,-57.5575,296.77,80,0,5.36,AR,1703253165
110,pailon,-17.65,-62.75,303.97,55,29,3.47,BO,1703253389
111,avarua,-21.2078,-159.775,295.18,88,75,1.03,CK,1703253096
112,port mathurin,-19.6833,63.4167,300.25,77,81,2.79,MU,1703253131
113,saint-pierre,-21.3393,55.4781,303.47,70,40,2.06,RE,1703253373
114,invercargill,-46.4,168.35,284.46,96,100,0.84,NZ,1703253390
115,nabire,-3.3667,135.4833,298.49,90,100,0.98,ID,1703253390
116,yanjiang,30.1211,104.6481,280.42,72,54,0.76,CN,1703253390
117,chipata,-13.6333,32.65,297.64,70,100,1.47,ZM,1703253390
118,goundam,16.4145,-3.6708,300.69,8,6,5.24,ML,1703253390
119,abong mbang,3.9833,13.1833,306.6,25,100,1.42,CM,1703253391
120,sinabang,2.4803,96.3801,300.68,80,100,1.01,ID,1703253149
121,jining,35.405,116.5814,269.71,36,100,3.0,CN,1703253391
122,gao,16.6362,1.637,301.44,14,0,5.71,ML,1703253391
123,malango,-2.9627,119.9001,293.58,97,100,0.59,ID,1703253391
124,cockburn town,21.4612,-71.1419,297.68,65,64,8.93,TC,1703253392
